t=2026-07-17T10:36:33+0500 lvl=info msg="no configuration paths supplied"
t=2026-07-17T10:36:33+0500 lvl=info msg="using configuration at default config path" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml"
t=2026-07-17T10:36:34+0500 lvl=info msg="open config file" path="C:\\Users\\Hassan Irfan\\AppData\\Local\\ngrok\\ngrok.yml" err=nil
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=ef16750eb688 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=1895e8606bed l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=0569094d258c l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=4c8fcb089265 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=a9bcf6be33b4 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=04ab6fd24289 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=2ac5fae1686f l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=97eb93634e75 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=a04e61b80424 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=b15a4ae4deff l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=1e8c2fbb46db l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=31f3d97607bf l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=54a6c1a7f2a2 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=cf47abe13e22 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=87dd45c71196 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=a2de99faa67d l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=56dca43c6d94 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=524ce5d25725 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=fd2ee3625d70 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=3a13eb5cda94 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=c2b6913d5027 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=1578b36af0da l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=6801194ace21 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=9c0a3b36b2b8 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=737f6e3ef79e l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=103dd47baf99 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:00+0500 lvl=info msg="join connections" obj=join id=2b1596414869 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:41:01+0500 lvl=info msg="join connections" obj=join id=9eb65ac2e7fd l=[::1]:3000 r=39.37.177.33:61003
t=2026-07-17T10:42:38+0500 lvl=info msg="join connections" obj=join id=05c682c5b69f l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:38+0500 lvl=info msg="join connections" obj=join id=4bf31e83060c l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:38+0500 lvl=info msg="join connections" obj=join id=b15173a98200 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:42+0500 lvl=info msg="join connections" obj=join id=b2fe720157c6 l=[::1]:3000 r=39.37.177.33:59113
t=2026-07-17T10:42:42+0500 lvl=info msg="join connections" obj=join id=43c513b07e96 l=[::1]:3000 r=39.37.177.33:64644
t=2026-07-17T10:42:42+0500 lvl=info msg="join connections" obj=join id=7be09ed23d67 l=[::1]:3000 r=39.37.177.33:64644
